provider,gate,item_id,p_ref,p_acc,delta_p,fav_sign,delta_fav
openai,moderation,mod_printer_03,0.8333333333333334,0.8333333333333334,0.0,-1,-0.0
openai,moderation,mod_restaurant_02,0.0,0.16666666666666666,0.16666666666666666,-1,-0.16666666666666666
openai,moderation,mod_treadmill_03,0.3333333333333333,0.3333333333333333,0.0,-1,-0.0
openai,resume,res_acct_02,0.0,0.0,0.0,1,0.0
openai,resume,res_acct_03,0.16666666666666666,0.0,-0.16666666666666666,1,-0.16666666666666666
openai,resume,res_acct_04,1.0,1.0,0.0,1,0.0
openai,resume,res_acct_05,1.0,1.0,0.0,1,0.0
openai,resume,res_data_01,0.0,0.0,0.0,1,0.0
openai,resume,res_data_02,0.0,0.0,0.0,1,0.0
openai,resume,res_data_03,1.0,0.8333333333333334,-0.16666666666666663,1,-0.16666666666666663
openai,resume,res_data_04,1.0,1.0,0.0,1,0.0
openai,resume,res_fed_02,0.0,0.0,0.0,1,0.0
openai,resume,res_fed_03,0.6666666666666666,0.5,-0.16666666666666663,1,-0.16666666666666663
openai,resume,res_fed_04,1.0,1.0,0.0,1,0.0
openai,resume,res_fed_05,1.0,1.0,0.0,1,0.0
openai,resume,res_mkt_02,0.0,0.0,0.0,1,0.0
openai,resume,res_mkt_03,1.0,0.5,-0.5,1,-0.5
openai,resume,res_mkt_04,1.0,1.0,0.0,1,0.0
openai,resume,res_sup_02,0.0,0.0,0.0,1,0.0
openai,resume,res_sup_03,0.6666666666666666,0.16666666666666666,-0.5,1,-0.5
openai,resume,res_sup_04,0.6666666666666666,1.0,0.33333333333333337,1,0.33333333333333337
openai,resume,res_wh_03,0.0,0.0,0.0,1,0.0
openai,resume,res_wh_04,1.0,1.0,0.0,1,0.0
