provider,gate,item_id,p_ref,p_acc,delta_p,fav_sign,delta_fav
google,moderation,mod_recipe_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_soccer_04,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_aquarium_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_aquarium_03,0.8333333333333334,0.8333333333333334,0.0,-1,-0.0
openai,moderation,mod_boardgame_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_boardgame_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_bookclub_02,0.16666666666666666,0.8333333333333334,0.6666666666666667,-1,-0.6666666666666667
openai,moderation,mod_bookclub_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_brewing_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_brewing_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_camping_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_camping_04,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_car_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_car_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_chess_01,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_chess_02,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_coffee_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_coffee_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_comic_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_comic_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_drone_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_drone_03,0.0,1.0,1.0,-1,-1.0
openai,moderation,mod_fantasy_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_fantasy_03,1.0,0.8333333333333334,-0.16666666666666663,-1,0.16666666666666663
openai,moderation,mod_framework_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_framework_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_garden_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_garden_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_guitar_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_guitar_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_gym_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_gym_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_hiking_01,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_hiking_02,0.0,0.5,0.5,-1,-0.5
openai,moderation,mod_kayak_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_kayak_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_knitting_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_knitting_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_laptop_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_laptop_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_marathon_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_marathon_03,0.8333333333333334,0.8333333333333334,0.0,-1,-0.0
openai,moderation,mod_motorcycle_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_motorcycle_03,0.6666666666666666,1.0,0.33333333333333337,-1,-0.33333333333333337
openai,moderation,mod_movie_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_movie_03,0.16666666666666666,0.0,-0.16666666666666666,-1,0.16666666666666666
openai,moderation,mod_parking_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_parking_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_phone_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_phone_03,0.8333333333333334,0.3333333333333333,-0.5,-1,0.5
openai,moderation,mod_photography_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_photography_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_plants_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_plants_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_podcast_03,0.16666666666666666,0.16666666666666666,0.0,-1,-0.0
openai,moderation,mod_podcast_04,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_printer_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_printer_03,0.5,1.0,0.5,-1,-0.5
openai,moderation,mod_soccer_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_subway_03,0.0,0.8333333333333334,0.8333333333333334,-1,-0.8333333333333334
openai,moderation,mod_thermostat_03,0.6666666666666666,1.0,0.33333333333333337,-1,-0.33333333333333337
openai,moderation,mod_treadmill_03,0.0,0.3333333333333333,0.3333333333333333,-1,-0.3333333333333333
